Id;PageItemID;XCoordinate;YCoordinate
639;985;654,1823120117;175,6496734619
640;445;378,4815063477;177,4494476318
641;88;440,8874511719;204,4489440918
642;892;448,2593383789;210,3508300781
643;990;262,5552978516;220,0486450195
644;931;677,4140625000;225,9501190186
645;924;555,4906616211;237,7985534668
646;894;196,0323028564;271,6496582031
647;421;578,7133178711;281,2488708496
648;460;659,5375976563;280,1505737305
649;922;731,8869628906;279,4496459961
650;35;469,8056335449;284,9499511719
651;41;561,4906616211;283,7485656738
652;1001;412,2823181152;290,2496643066
653;39;529,3406372070;297,7985534668
654;31;658,2139892578;306,7000427246
655;421;500,7148132324;313,2990722656
656;91;629,2906494141;311,9485473633
657;91;488,4883117676;318,2005004883
658;889;326,3609924316;331,0519409180
659;90;704,8394775391;337,5493469238
660;431;688,2883300781;375,3504943848
661;30;670,8092651367;384,5516662598
662;29;602,0640258789;416,1500244141
663;431;594,2406616211;422,5985412598
664;90;588,2640380859;430,9000244141
665;978;647,7102661133;433,0517578125
666;545;460,2883300781;461,7504882813
667;62;469,6382446289;465,0991821289
668;442;456,1406555176;471,1985473633
669;918;439,9875488281;480,4498291016
670;977;551,7102661133;485,6017456055
671;917;421,9875488281;489,0998229980
672;442;408,4383239746;495,8005065918
673;212;374,8860168457;513,9507446289
674;772;283,3399353027;60,9014282227
675;772;163,9416961670;120,9997406006
676;71;187,9924011230;120,5512695313
677;688;208,7665100098;120,5494384766
678;699;267,7433471680;138,7999725342
679;36;326,3508605957;146,0013732910
680;843;617,6112060547;167,6993103027
681;71;85,7665176392;177,8994598389
682;688;108,9170303345;177,6503753662
683;241;221,3665161133;179,3494415283
684;644;322,7106628418;176,1987762451
685;456;163,9153289795;192,8002319336
686;248;154,1423950195;197,7012786865
687;36;173,6008605957;200,9513549805
688;644;170,1332092285;212,6992645264
689;74;285,0366821289;224,3499603271
690;122;301,8189392090;224,3496856689
691;699;219,0165405273;230,4512329102
692;981;443,6629028320;230,4492797852
693;644;219,4611816406;239,3493041992
694;735;247,1611785889;241,1493225098
695;540;452,4876098633;243,0513610840
696;16;539,8605957031;258,1985168457
697;73;527,5153198242;269,3502502441
698;122;157,2665100098;275,7994384766
699;74;193,8330841064;274,4012451172
700;833;328,5933532715;301,5999755859
701;75;700,2330322266;337,8512268066
702;643;347,6830139160;345,6494140625
703;38;433,3617553711;346,8481750488
704;982;548,1355590820;351,5505065918
705;675;574,9111938477;351,3992919922
706;537;691,7106933594;353,1987609863
707;643;683,3612060547;363,7993164063
708;73;559,5421752930;375,1987609863
709;38;639,2111816406;385,9992980957
710;540;554,7867431641;391,9999694824
711;832;249,6624298096;396,0498657227
712;537;354,2355346680;415,1504821777
713;675;384,0330810547;415,7512207031
714;75;337,7117614746;429,1981506348
715;1051;157,8140716553;117,3500671387
716;1026;195,9630737305;118,0494003296
717;44;259,3309631348;136,1481628418
718;1052;337,2850646973;165,5510406494
719;69;357,1800537109;172,0506286621
720;396;511,5048217773;170,0006713867
721;1058;445,8113098145;187,9999084473
722;878;511,7549438477;188,8519744873
723;164;238,8549652100;190,7519989014
724;435;353,6546325684;191,5016326904
725;97;363,5549316406;197,1520233154
726;1027;105,5609970093;202,0518951416
727;209;79,6864624023;205,2998352051
728;1028;94,5646209717;203,4996185303
729;1031;231,2369842529;205,5495910645
730;1050;439,9850463867;212,7510528564
731;1057;437,0630798340;224,1494293213
732;1055;350,4549560547;236,7519989014
733;1041;431,0630798340;238,2993927002
734;904;329,3106079102;250,5485839844
735;1045;317,3593444824;268,6508178711
736;1048;86,1906585693;273,6985168457
737;1061;178,8610992432;273,8014831543
738;1044;308,3368225098;284,8490905762
739;1062;438,7875366211;304,2997741699
740;1044;200,6369781494;310,9996032715
741;47;324,7099304199;317,5020141602
742;1045;193,2602233887;330,3517150879
743;1037;502,4630737305;373,3994140625
744;865;173,1096343994;388,5506591797
745;1054;367,0869750977;391,0495910645
746;101;138,5593566895;398,3507995605
747;1036;493,0860290527;399,1007385254
748;1056;277,5096435547;404,9506835938
749;1065;254,2860260010;452,7507324219
750;1070;444,3906555176;520,2984619141
751;1042;290,2361450195;557,9497070313
752;1060;106,4108200073;584,1491699219
753;1038;286,9374389648;589,3988647461
754;1033;317,4146118164;591,1995849609
755;1034;310,4646301270;599,7495727539
756;210;368,4883117676;621,3504638672
757;1053;268,0864562988;625,9998779297
758;1040;267,5610046387;646,1518554688
759;1064;385,3360290527;651,8007202148
760;221;167,6646118164;656,7495727539
761;466;348,7850646973;668,1510009766
762;1046;245,4868164063;677,1490478516
763;61;345,0146179199;676,2995605469
